number,title,classification,timestamp
8679,Report 8679: Adult recalls childhood sighting at dusk near Moody,Class A,2004-09-30T12:00:00Z
10498,Report 10498: Hiker has daylight sighting near Warrior.,Class A,1979-09-15T12:00:00Z
14082,Report 14082: Daylight road crossing sighting near Orrville,Class A,2006-09-10T12:00:00Z
15102,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,Class A,2006-07-06T12:00:00Z
17455,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Class A,2007-05-19T12:00:00Z
17480,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,Class A,2007-04-22T12:00:00Z
18043,Report 18043: Evening sighting by family driving by Guntersville Lake,Class A,1992-08-15T12:00:00Z
22539,Report 22539: Roadside Sighting near Moody,Class A,2007-07-18T12:00:00Z
24646,Report 24646: Early morning sighting by a fisherman south of Montgomery,Class A,2001-04-13T12:00:00Z
25238,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,Class A,1999-11-23T12:00:00Z
25559,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,Class A,2009-02-24T12:00:00Z
26513,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,Class A,1979-09-14T12:00:00Z
26886,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Class A,2000-05-13T12:00:00Z
27067,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Class A,1980-01-12T12:00:00Z
27459,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,Class A,2010-03-12T12:00:00Z
27480,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Class A,1990-05-15T12:00:00Z
27568,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,Class A,2005-01-12T12:00:00Z
33307,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,Class A,1983-10-14T12:00:00Z
35293,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Class A,1978-10-10T12:00:00Z
35475,Report 35475: Daylight road crossing near Vernon,Class A,2012-05-21T12:00:00Z
37038,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Class A,2008-02-15T12:00:00Z
37094,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,Class A,2012-11-01T12:00:00Z
39383,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,Class A,2012-08-15T12:00:00Z
40417,Report 40417: Nighttime encounters close to home near Morgan,Class A,2013-03-16T12:00:00Z
40912,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,Class A,2013-01-23T12:00:00Z
42939,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Class A,2013-10-15T12:00:00Z
43689,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Class A,2013-10-02T12:00:00Z
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,2014-03-30T12:00:00Z
44849,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Class A,2014-12-27T12:00:00Z
44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Class A,2014-12-31T12:00:00Z
45296,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Class A,2014-06-09T12:00:00Z
45464,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Class A,2014-06-17T12:00:00Z
46746,Report 46746: Nighttime sighting by a motorist west of Newville,Class A,2014-09-17T12:00:00Z
47975,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Class A,2013-01-28T12:00:00Z
50178,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Class A,2014-01-14T12:00:00Z
186,Report 186: Two boys are chased by sasquatch,Class A,2001-08-11T12:00:00Z
1636,Report 1636: Teenager has sighting near Ozark National Forest,Class A,1972-11-05T12:00:00Z
1637,Report 1637: Backyard sighting near Mountain Home.,Class A,1995-05-15T12:00:00Z
1640,Report 1640: Nightime sighting by motorists on Hwy 7 North,Class A,1996-10-15T12:00:00Z
1641,"Report 1641: From top of hill, hunter observes bipedal creature following a fence row",Class A,1998-10-29T12:00:00Z
1944,Report 1944: Family has multiple encounters with white bigfoot creature,Class A,1969-08-16T12:00:00Z
2494,Report 2494: Bus driver encounters ape like creature during an unscheduled stop,Class A,2001-08-11T12:00:00Z
2774,Report 2774: Large bipedal animal observes couple parking behind school gymnasium,Class A,1988-01-10T12:00:00Z
2931,"Report 2931: Daylight sighting outside rural home in small community of Herbine, south of Rison",Class A,2001-07-29T12:00:00Z
2957,Report 2957: Youths riding in back of pick-up have close observation of large biped crossing road,Class A,1970-06-15T12:00:00Z
3226,Report 3226: Man finds 3-toed prints & wife has sighting,Class A,1998-11-15T12:00:00Z
3519,Report 3519: Man working in wooded area sees bipedal animal standing on railroad tracks,Class A,1984-04-17T12:00:00Z
4090,Report 4090: Sighting in wheat field near Fouke,Class A,2000-01-15T12:00:00Z
4093,Report 4093: Daytime sighting between Pocahontas and Imboden,Class A,1977-09-25T12:00:00Z
4094,Report 4094: Late night encounter near Benton,Class A,1994-10-15T12:00:00Z
5228,Report 5228: Motorist has nighttime sighting of bipedal animal at roadside,Class A,1997-03-14T12:00:00Z
5316,Report 5316: Daytime sighting by hiker near Spring Creek.,Class A,2002-10-10T12:00:00Z
5607,Report 5607: Driver narrowly misses creature darting across mountainous stretch of highway,Class A,1998-07-07T12:00:00Z
6178,Report 6178: Motorist crossing a bridge sees sasquatch digging in the dirt below,Class A,2004-04-04T12:00:00Z
6932,Report 6932: Duck hunter observes apelike creature across White River,Class A,1999-11-15T12:00:00Z
7045,Report 7045: Man riding 4-wheeler observes a bigfoot reaching into a tree,Class A,2003-10-31T12:00:00Z
7234,Report 7234: Daylight sighting by two sisters near their farm in the early 1960s,Class A,1961-10-15T12:00:00Z
7815,Report 7815: Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree,Class A,2003-08-12T12:00:00Z
7971,Report 7971: Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,Class A,2004-02-19T12:00:00Z
8420,Report 8420: Early morning motorist driving to work sees bipedal animal running through field,Class A,2004-04-03T12:00:00Z
8527,"Report 8527: Man has extraordinary, close encounter while fishing near Huntington",Class A,2004-04-23T12:00:00Z
8913,Report 8913: Late night sighting by motorist,Class A,2001-05-15T12:00:00Z
9507,Report 9507: Roadside sighting near Eureka Springs,Class A,1994-07-16T12:00:00Z
9753,Report 9753: Animal peers into youngster's bedroom window,Class A,1986-07-15T12:00:00Z
10913,Report 10913: Squirrel Hunter has encounter south of El Dorado,Class A,2002-11-05T12:00:00Z
10919,Report 10919: Youth has sighting from his backyard on Air Force Base,Class A,1975-09-15T12:00:00Z
11430,Report 11430: Two young men have a sighting while spelunking near Huntsville.,Class A,1981-07-15T12:00:00Z
11632,Report 11632: 4' - 5.5' upright animal seen crossing dead-end road.,Class A,2005-05-07T12:00:00Z
13211,Report 13211: Early morning sighting by resident along Highway 7 near Bismarck.,Class A,2005-12-04T12:00:00Z
13718,Report 13718: Man tells of two-legged animal crossing road in front of his car east of Paris,Class A,1986-06-01T12:00:00Z
13983,Report 13983: Possible sighting by fisherman at Blue Lake.,Class A,1980-06-15T12:00:00Z
16696,Report 16696: Dusk sighting and vocalizations around property near Cove,Class A,2004-10-15T12:00:00Z
24254,Report 24254: Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton,Class A,1992-06-14T12:00:00Z
26100,Report 26100: Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,Class A,1996-11-15T12:00:00Z
27482,Report 27482: Man recalls incident while camping as a teenager near Cedarville,Class A,2010-03-23T12:00:00Z
27948,Report 27948: Motorist has nighttime sighting on a mountain road north of Flippin,Class A,2004-01-14T12:00:00Z
29417,Report 29417: Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area,Class A,2010-11-18T12:00:00Z
36178,Report 36178: Motorist has nighttime sighting near Lake Village,Class A,2012-07-29T12:00:00Z
36498,Report 36498: Pre-dawn sighting on a rural road near Fouke,Class A,2012-09-13T12:00:00Z
38015,Report 38015: Motorist observes three bigfoots crossing before him at night east of Harrison,Class A,2012-12-04T12:00:00Z
40020,Report 40020: Man has a close daytime encounter with a probable Bigfoot family outside Hardy,Class A,2008-01-15T12:00:00Z
40101,Report 40101: Motorist views large bipedal animal squatting at night beside I-40 near Marche.,Class A,2012-12-07T12:00:00Z
41827,Report 41827: Motorist has close encounter on Mallard Point Road near Lake Norfork,Class A,2009-02-15T12:00:00Z
46380,"Report 46380: Mother & daughter have unusual, close-up encounter on the road at night near Newark",Class A,2011-11-24T12:00:00Z
50541,Report 50541: Motorist has a close sighting at dusk on AR-258 outside Bald Knob,Class A,2015-12-28T12:00:00Z
55376,Report 55376: Two fishermen have close-up sighting while driving home at night from Norfork Lake,Class A,2003-12-15T12:00:00Z
55410,"Report 55410: Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy",Class A,2015-11-26T12:00:00Z
56108,Report 56108: Sighting at dusk by a Retired Police Officer with Anthropology Degree,Class A,2016-12-02T12:00:00Z
56735,Report 56735: Motorist has daytime sighting while driving past Joseph T. Robinson military base,Class A,2017-02-10T12:00:00Z
57471,Report 57471: Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,Class A,1976-09-15T12:00:00Z
440,Report 440: A daylight sighting report by an ex soldier,Class A,2000-10-10T12:00:00Z
3482,"Report 3482: Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow",Class A,2000-12-24T12:00:00Z
6552,Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,Class A,2001-06-17T12:00:00Z
7495,"Report 7495: Night time road crossing near Strawberry, Arizona",Class A,1983-12-30T12:00:00Z
7566,Report 7566: Bow hunter has daylight sighting near Alpine.,Class A,1993-09-04T12:00:00Z
8685,Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona,Class A,1981-11-07T12:00:00Z
11514,Report 11514: Evening sighting by motorists north of Flagstaff.,Class A,1990-07-01T12:00:00Z
16580,Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho,Class A,2006-10-26T12:00:00Z
17448,Report 17448: A close range road crossing on a foggy morning near Safford,Class A,2007-01-22T12:00:00Z
17804,Report 17804: Late afternoon road crossing sighting by motorist west of Springerville.,Class A,2007-02-01T12:00:00Z
18723,"Report 18723: Late night multi-witness, road-crossing sighting near Bartlett Lake.",Class A,1995-07-15T12:00:00Z
19339,Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation),Class A,2006-10-15T12:00:00Z
23136,Report 23136: Early morning roadside sighting of tall gray creature near Buckeye,Class A,2008-07-29T12:00:00Z
23358,Report 23358: Late night road side sighting near Tonto Creek,Class A,2006-11-17T12:00:00Z
24405,Report 24405: Man tells of his scary encounter while traveling Route 66 in a snow storm,Class A,1973-12-20T12:00:00Z
27495,Report 27495: Afternoon sighting by a commuter south of Show Low,Class A,2010-03-24T12:00:00Z
28946,Report 28946: Army Vet recalls daylight sighting near Prescott,Class A,1981-08-15T12:00:00Z
29358,Report 29358: Brief daylight sighting within the city limits of Show Low,Class A,2011-05-31T12:00:00Z
42364,Report 42364: Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback,Class A,1992-08-15T12:00:00Z
47536,Report 47536: Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.,Class A,2014-04-22T12:00:00Z
83,Report 83: Early dawn sighting by hunters near Bass Lake,Class A,1988-10-01T12:00:00Z
147,Report 147: Sound reports from resident in South Lake Tahoe,Class A,2000-06-15T12:00:00Z
353,Report 353: Night sighting by two motorists near Lake Tahoe,Class A,2000-09-23T12:00:00Z
528,Report 528: Three children have daytime sighting near Eureka,Class A,1957-06-01T12:00:00Z
615,"Report 615: Sighting by woman in Eagle Meadow, above Strawberry",Class A,1997-11-15T12:00:00Z
849,Report 849: Girl has daytime sighting near Payne's Creek,Class A,1968-11-01T12:00:00Z
865,Report 865: Two 4-wheelers have night sighting above Huntington Lake,Class A,1997-12-18T12:00:00Z
868,Report 868: Campers have sighting above Pinecrest,Class A,1994-06-01T12:00:00Z
875,Report 875: Man has sighting near Alturas,Class A,1974-06-01T12:00:00Z
913,Report 913: Hikers see creature in Desolation Wilderness,Class A,2000-07-01T12:00:00Z
919,Report 919: Car passenger has nighttime sighting near Lake Tahoe,Class A,1996-04-10T12:00:00Z
1055,Report 1055: Two hikers have morning sighting in the Desolation Wilderness,Class A,1993-04-01T12:00:00Z
1068,Report 1068: Two fisherman have daytime sighting above Huntington Lake,Class A,1995-10-29T12:00:00Z
1090,Report 1090: Girl has daytime sighting near Twain Harte,Class A,1978-08-01T12:00:00Z
1229,Report 1229: Boy Scout has late night sighting above Porterville,Class A,1955-08-01T12:00:00Z
1301,Report 1301: Three witnesses have daytime sighting near Strawberry,Class A,1978-07-30T12:00:00Z
1391,Report 1391: Man has late night sighting north of Redding,Class A,1999-03-04T12:00:00Z
1473,Report 1473: Family has early evening sighting near Weed,Class A,1966-09-01T12:00:00Z
1510,Report 1510: Brothers have early evening sighting near Lee Vining,Class A,1977-07-01T12:00:00Z
1653,Report 1653: Husband and wife have late night sighting on Highway 299,Class A,1978-10-01T12:00:00Z
1919,Report 1919: Friends have night sighting above Sonora,Class A,1983-10-25T12:00:00Z
2794,Report 2794: Woman has early evening sighting near Kennedy Meadows,Class A,1987-05-31T12:00:00Z
2886,Report 2886: A Wildlife Biologist observes a large upright walking animal near Pinecrest,Class A,1993-06-15T12:00:00Z
2896,Report 2896: Sister and brother see 3 creatures near Yreka,Class A,1944-08-01T12:00:00Z
2928,Report 2928: Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge,Class A,2000-07-20T12:00:00Z
3169,Report 3169: Man sees creature crossing road near Petaluma,Class A,1991-01-01T12:00:00Z
3421,Report 3421: Family has unusual experience outside Grass Valley,Class A,1978-06-01T12:00:00Z
3672,"Report 3672: Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground",Class A,1998-08-01T12:00:00Z
4446,Report 4446: Daytime sighting by hiker on La Jolla Indian Reservation.,Class A,1993-07-04T12:00:00Z
4630,Report 4630: Afternoon sighting by hiker outside Dunsmuir,Class A,2001-06-15T12:00:00Z
4946,Report 4946: Teenager has daytime sighting near Truckee,Class A,1956-10-01T12:00:00Z
6429,Report 6429: Woman recalls a nighttime sighting on Hwy. 299 near Burney,Class A,1994-09-15T12:00:00Z
6521,Report 6521: Woman hears late night scream and has close encounter near Laytonville,Class A,1987-06-01T12:00:00Z
6639,Report 6639: Couple have night sighting near Lake Tahoe,Class A,2003-07-20T12:00:00Z
6746,Report 6746: Man has sighting after massive landslide on Highway 50,Class A,1983-01-01T12:00:00Z
6961,Report 6961: Teen has daytime sighting near Myers Flat,Class A,1963-08-01T12:00:00Z
6963,Report 6963: Teens have unusual experience near Myers Flat,Class A,1965-07-01T12:00:00Z
7334,Report 7334: Daytime sightings by Forest Service employee near Arroyo Seco,Class A,1993-04-01T12:00:00Z
7555,Report 7555: Two Young Fishermen Have Mid-day Encounter at Lake Shasta,Class A,1977-08-01T12:00:00Z
7731,Report 7731: Hunting Partners Have Early Morning Roadway Sighting,Class A,1973-10-15T12:00:00Z
7804,Report 7804: Family has two late night sightings near Nevada City,Class A,2004-01-04T12:00:00Z
7860,Report 7860: Hunter has daytime sighting near Dos Rios,Class A,1974-09-01T12:00:00Z
8059,Report 8059: Teenagers have sighting of two creatures near Albion,Class A,1966-09-01T12:00:00Z
8487,Report 8487: Hiking boy has close encounter in High Sierra,Class A,1972-09-15T12:00:00Z
8595,Report 8595: Man has early morning sighting near Sly Park,Class A,2003-09-01T12:00:00Z
9202,Report 9202: Man remembers childhood daytime sighting along the Feather River,Class A,1965-07-01T12:00:00Z
9283,Report 9283: Early morning sighting by motorist along the Eel River,Class A,1992-07-12T12:00:00Z
9296,Report 9296: Hunter has daytime sighting near Huntington Lake,Class A,2001-10-25T12:00:00Z
9357,Report 9357: Workers have daytime sighting on Tule River Indian Reservation,Class A,2000-05-01T12:00:00Z
9555,Report 9555: Retired Law Enforcement Officer Has Daytime Sighting,Class A,2004-08-16T12:00:00Z
10980,Report 10980: Man has late night sighting near Twain Harte,Class A,2003-12-24T12:00:00Z
11162,Report 11162: Family has sightings and encounters in Santa Cruz mountains,Class A,2004-10-01T12:00:00Z
11496,"Report 11496: Lady has two Northern California sightings, over a 20year period.",Class A,1997-07-15T12:00:00Z
11576,Report 11576: Woman has close up night sighting in car lights on Highway 299,Class A,1988-10-15T12:00:00Z
11656,Report 11656: Couple Has Early Evening Encounter Near Stumpy Meadow Reservoir,Class A,2004-11-01T12:00:00Z
11897,Report 11897: Three young adults encounter large aggressive biped while fishing the San Joaquin River,Class A,1991-06-28T12:00:00Z
11986,Report 11986: Daylight sighting by guide and two tourists at Lake Shasta Caverns,Class A,2001-03-15T12:00:00Z
12247,Report 12247: Two teenage girls have daytime encounter on Big Sur Coast,Class A,1974-04-15T12:00:00Z
12292,Report 12292: Daylight sighting by hikers in Ventana Wilderness,Class A,1986-06-15T12:00:00Z
12294,Report 12294: Daylight sighting near Happy Camp,Class A,1967-03-10T12:00:00Z
12383,Report 12383: Hiking family has daytime encounter in Sierra,Class A,2005-08-21T12:00:00Z
12649,Report 12649: Man recalls daytime sighting in a canyon outside Nevada City,Class A,1987-09-15T12:00:00Z
12917,Report 12917: Vehicle passenger's daylight sighting near Hiouchi,Class A,1979-10-25T12:00:00Z
13419,Report 13419: Firefighter describes multiple-witness sighting during the Loma Fire,Class A,2003-09-15T12:00:00Z
13424,Report 13424: Trail bike rider describes being briefly chased at night near Happy Camp,Class A,1993-12-15T12:00:00Z
14338,Report 14338: Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains,Class A,1869-11-10T12:00:00Z
14407,Report 14407: Daylight sighting by camper 7-8 northwest of Independence Lake,Class A,1993-09-05T12:00:00Z
14642,Report 14642: Evening road crossing sighting near Lewiston (Hwy 299),Class A,1982-08-09T12:00:00Z
15821,Report 15821: Backpacker's moonlit encounter near the trail from Wright's Lake to Enchanted Pools,Class A,2005-08-20T12:00:00Z
15855,Report 15855: Daylight sighting by motorist near Laurel Canyon in the Mammoth Lakes area,Class A,2006-06-17T12:00:00Z
16342,Report 16342: Possible sighting by motorist beside Highway 101 between Orick and Trinidad,Class A,2006-10-21T12:00:00Z
18298,"Report 18298: Man collecting pine nuts retreats from intimidation approach, above French Gulch near Lake Shasta",Class A,2007-04-18T12:00:00Z
20197,Report 20197: Nighttime sighting by motorist near Mt. Madonna Park in the Santa Cruz Mountains,Class A,1980-10-11T12:00:00Z
21354,Report 21354: Multi-witness road-crossing sighting on Hwy 96 outside Happy Camp,Class A,2007-09-11T12:00:00Z
21674,Report 21674: Man describes incident in teen years: Daylight encounter by two young men in the Green Valley area,Class A,2007-10-10T12:00:00Z
22434,Report 22434: Backpacker sighting off the PCT in the Marble Mountains Wilderness,Class A,1998-08-03T12:00:00Z
22500,Report 22500: Paranormal investigator describes encounter near Covelo,Class A,2007-12-15T12:00:00Z
23768,"Report 23768: Brief, blurry video footage of a possible sasquatch at Mono Lake",Class A,2008-07-09T12:00:00Z
24146,Report 24146: Man Has Face to Face Encounter Outside of Willits,Class A,2008-07-08T12:00:00Z
24574,Report 24574: Man remembers seeing an animal move through a ravine near Yosemite,Class A,1993-08-13T12:00:00Z
24648,"Report 24648: Man retells his close, visual encounter at dawn on Pine Mountain as a young deer hunter",Class A,2008-09-14T12:00:00Z
24936,Report 24936: Sighting off Indian Road behind isolated (at the time) Desert Hot Springs Condo complex,Class A,2008-12-01T12:00:00Z
24938,Report 24938: Daylight sighting by backpacker near Pacific Crest Trail west of Independence observes two creatures during the afternoon on the PCT,Class A,2008-10-27T12:00:00Z
25009,"Report 25009: Youngsters encounter large, grey creature in a sugar beet field",Class A,1962-08-14T12:00:00Z
25260,Report 25260: Nighttime sighting (in headlights) by law enforcement officer on patrol near Cloverdale,Class A,2007-09-08T12:00:00Z
25266,Report 25266: Two men recall a nighttime face to face encounter on lonely Hwy. 395,Class A,2009-01-12T12:00:00Z
25444,Report 25444: High school teacher recalls a nighttime sighting while camping in the Los Padres National Forest,Class A,1982-04-15T12:00:00Z
26116,Report 26116: Man has close encounter near Oregon border,Class A,2009-06-03T12:00:00Z
26258,Report 26258: Nightime sighting by a couple along a main highway between South Lake Tahoe and Placerville,Class A,2009-07-15T12:00:00Z
26850,Report 26850: Forestry Worker Observes a Sasquatch in Clear-Cut Near Feather River,Class A,1993-09-30T12:00:00Z
27177,Report 27177: Man remembers sighting while driving on a lonely dark two-lane road near Gorman,Class A,2010-01-22T12:00:00Z
27609,Report 27609: Daughter and Mother both observe a large dark creature in the Klamath River bottom,Class A,2010-04-22T12:00:00Z
27983,"Report 27983: Motorists encounter unusual creature on Highway 46 near Paso Robles, CA",Class A,1974-08-01T12:00:00Z
28432,Report 28432: Motorists have sighting along Highway 88 north of Clements,Class A,2010-10-25T12:00:00Z
32654,"Report 32654: Family has sighting while driving along Hwy 96 near Yreka, CA",Class A,2011-12-03T12:00:00Z
39181,Report 39181: Deer hunter has sighting in Sierra Nevada Mtns south of Markleeville,Class A,2012-09-23T12:00:00Z
46330,Report 46330: Daylight sighting by fisherman at Silverwood Lake near Hesperia,Class A,2014-08-20T12:00:00Z
48429,Report 48429: Travelers have a nighttime sighting of two hairy bipeds on Hwy. 180 near Grant Grove,Class A,2015-05-16T12:00:00Z
211,"Report 211: Daylight sighting by a hunter east of Alberta Hwy 22, near Hwy 532",Class A,1995-11-18T12:00:00Z
9876,Report 9876: Sighting by hunters south of Longview,Class A,2003-11-15T12:00:00Z
10775,Report 10775: Nighttime sighting by motorist at the Saulteaux River,Class A,1976-02-12T12:00:00Z
12001,"Report 12001: Daylight sighting by motorist outside Edmonton, on Highway 16 near Stony Plain",Class A,2005-04-15T12:00:00Z
12647,Report 12647: Sighting by camper at Camp Alexo near Nordegg,Class A,1998-06-30T12:00:00Z
17290,Report 17290:  Woman describes close encounter when she was 18 near Peace River,Class A,2008-01-23T12:00:00Z
27043,Report 27043: Man recalls disturbing two sleeping creatures lying on a road near Redwater,Class A,1997-06-05T12:00:00Z
43598,Report 43598: Early morning sighting through binoculars while bird watching in Waterton National Park,Class A,2011-06-17T12:00:00Z
2113,Report 2113: Daylight sighting by motorist on Hwy 93 about 20 miles east of Radium,Class A,2001-03-30T12:00:00Z
3899,"Report 3899: Camper witnesses animal on two legs climbing up gully east of Hope, south of Hwy 3, near Nicolum Creek",Class A,1999-09-14T12:00:00Z
4900,Report 4900: Eight-foot bipedal animal seen crossing road near Tete Jaune Cache,Class A,2002-08-17T12:00:00Z
5172,Report 5172: Multi-witness road-crossing sighting outside Fort St.John,Class A,1965-10-20T12:00:00Z
6831,Report 6831: Night time sighting by motorist on Highway 40 between Gold Bridge and Lillooet,Class A,2002-12-20T12:00:00Z
10001,Report 10001: Motorists have daylight sighting near Fort Liard.,Class A,1987-04-13T12:00:00Z
10633,Report 10633: Daylight sighting by hikers in the Checakmus area,Class A,2005-02-15T12:00:00Z
10878,Report 10878: Road crossing sighting outside Halfmoon Bay,Class A,2005-03-08T12:00:00Z
11915,Report 11915: Night time sightings outside Duncan; Other incidents mentioned.,Class A,2005-06-17T12:00:00Z
12451,Report 12451: Motorhome driver reports sighting around 7am near Jasper,Class A,2005-08-14T12:00:00Z
13232,Report 13232: Daylight sighting near Prince George,Class A,1977-09-30T12:00:00Z
13371,Report 13371: Early morning sighting by a trucker on Othello Road.,Class A,2005-09-10T12:00:00Z
13464,Report 13464: BC family sees a possible family group of sasquatch,Class A,2006-01-02T12:00:00Z
13642,Report 13642: Early morning sighting by 10 year old child in a backyard tent in the Lower Fraser Valley,Class A,1985-07-31T12:00:00Z
14328,"Report 14328: Old newspaper article (Lima, Ohio) about encounters near Harrison Mills",Class A,1934-03-04T12:00:00Z
14329,Report 14329: Old newspaper article (Fresno Bee) Univ. Calif. students plan expedition to BC,Class A,2006-03-02T12:00:00Z
14511,Report 14511: Sighting by snowmobilers outside Castlegar,Class A,1980-12-23T12:00:00Z
15085,Report 15085: Morning road-crossing sighting by motorist near Revelstoke,Class A,1985-07-15T12:00:00Z
15274,Report 15274: Early morning sighting on Vancouver Island near Cowichan Lake,Class A,2006-06-20T12:00:00Z
17331,Report 17331: Possible sighting at a farm outside Victoria (Vancouver Island),Class A,2006-11-15T12:00:00Z
18534,Report 18534: Daylight sighting by motorist on Hwy 4 near Kennedy Lake,Class A,2007-03-30T12:00:00Z
20415,Report 20415: Man describes his childhood observation in daylight on a farm outside Langley,Class A,1988-05-15T12:00:00Z
21563,Report 21563: Childhood Sighting Near a House in the Okanagan,Class A,1974-07-15T12:00:00Z
23245,Report 23245: Resting elk hunter smells and sees a sasquatch near Whiteswan Lake,Class A,2007-09-25T12:00:00Z
